word,count
mob,713
negro,627
men,441
jail,439
county,382
night,302
one,273
taken,241
morning,233
body,232
man,228
said,226
two,202
last,187
house,184
found,183
shot,178
near,178
lynching,177
clock,168
went,168
made,161
took,157
crime,156
would,151
jailer,149
death,148
hanged,146
time,143
home,140
town,135
lynched,133
sheriff,131
came,130
officers,124
three,123
several,122
white,122
door,120
tree,120
city,119
upon,118
sic,118
people,117
prisoner,116
miles,113
little,111
judge,108
place,106
jury,105
girl,103
west,103
court,101
kentucky,101
hanging,97
killed,95
arrested,95
away,94
years,94
john,93
rope,91
citizens,90
brought,89
left,89
could,88
murder,88
charged,86
ago,86
young,85
colored,85
negroes,84
special,82
fired,81
told,80
known,80
work,79
held,78
woman,78
miss,77
another,77
crowd,76
placed,74
back,74
returned,74
hands,74
called,73
trial,72
keys,71
yesterday,71
dead,71
masked,71
cut,70
james,70
armed,69
coroner,69
way,68
first,68
law,68
day,68
old,68
street,67
take,67
soon,67
committed,66
victim,66
members,66
heard,65
governor,64
assault,63
scene,63
neck,63
today,63
road,63
saturday,62
arrest,62
started,61
around,61
without,61
bridge,60
get,60
attempted,60
four,60
many,59
hill,59
wife,58
coleman,58
woods,58
shooting,57
case,56
guards,55
nothing,55
frankfort,55
louisville,55
life,54
sunday,54
shots,53
since,53
cell,53
party,53
dever,53
persons,52
excitement,52
state,52
green,52
monday,51
hundred,51
police,51
later,51
charge,50
unknown,50
feet,50
posse,50
head,50
mcdowell,50
also,49
killing,49
early,48
named,48
william,48
good,48
says,48
deputy,47
began,47
midnight,47
guard,47
fire,47
thought,47
hung,47
tuesday,46
afternoon,46
asked,46
grand,46
may,45
say,45
quietly,45
dragged,45
george,45
large,45
bullets,44
put,44
weeks,44
much,44
train,43
well,43
pistol,43
story,43
following,43
arrived,42
every,42
number,42
quiet,42
half,42
mile,42
verdict,42
attempt,42
morton,42
trouble,41
five,41
gave,41
met,40
seen,40
tom,40
followed,40
week,40
wounded,40
news,39
come,39
entered,39
reached,39
part,39
limb,39
given,39
stone,39
short,38
leader,38
affair,38
knew,38
burned,38
race,38
neighborhood,38
next,38
attorney,37
make,37
robert,37
murdered,37
got,37
almost,37
country,37
reported,37
murderer,37
tried,37
ran,37
july,36
marshal,36
forced,36
scott,36
even,36
still,36
farm,36
officer,36
guilty,35
among,35
inquest,35
hand,35
never,35
immediately,35
saw,35
escape,35
chief,35
henderson,35
give,35
river,35
coffey,35
ever,34
boy,34
evidence,34
accused,34
set,34
going,34
others,34
berry,34
captured,33
wednesday,33
brother,33
evening,33
demanded,33
overpowered,33
creek,33
family,33
haggard,33
became,32
done,32
finally,32
occurred,32
wanted,32
pike,32
however,32
person,32
sent,32
barn,32
refused,32
community,32
griffey,32
colston,32
assaulted,31
thursday,31
railroad,31
small,31
tragedy,31
turned,31
appeared,31
hours,31
days,31
carried,31
williams,31
child,31
bowling,31
broke,30
farmer,30
seized,30
friday,30
band,30
know,30
outrage,30
gun,30
long,30
march,30
smith,30
quickly,29
go,29
composed,29
brown,29
lynch,29
school,29
parties,29
find,29
six,29
office,29
anything,29
ten,29
caught,29
search,29
matter,29
circuit,29
empire,29
rockfield,29
hopkinsville,29
hour,28
mitchell,28
removed,28
father,28
hang,28
fifty,28
powell,28
great,28
lives,28
prominent,28
received,28
ground,28
times,28
distance,28
section,28
miller,28
stivers,28
minutes,27
front,27
fell,27
identified,27
taking,27
lexington,27
point,27
tied,27
jim,27
prisoners,27
believed,27
action,27
daughter,27
husband,27
june,27
term,27
princeton,27
union,27
childers,27
criminal,26
public,26
fact,26
shelbyville,26
children,26
feeling,26
ordered,26
effect,26
shortly,26
confessed,26
